tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
2440,0.7422,84,-0.02,0.22,1.00,499.5,232.4,443.8,329.6,74.0,71.8,78.3,103.7,1175.5,255.8,130.4,114.4,118.0,363.2,461.5,276.0,167.6,9.8,1.0,-384.1,-14.8,1.0,-657.4,354.1,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2441,0.7422,84,-0.02,0.20,1.00,499.7,232.7,443.8,329.6,74.0,71.7,78.3,103.6,1175.2,255.8,130.3,114.4,117.9,363.2,461.5,275.9,167.9,9.9,1.0,-375.9,-14.3,1.0,-651.1,348.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2442,0.7422,84,-0.02,0.18,1.00,499.9,232.9,443.8,329.6,74.0,71.6,78.2,103.5,1175.1,255.7,130.2,114.3,117.8,363.2,461.5,275.9,168.3,9.9,1.0,-375.7,-14.3,1.0,-650.9,348.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2443,0.7422,84,-0.01,0.17,1.00,500.1,233.1,443.9,329.7,74.0,71.6,78.2,103.5,1174.9,255.7,130.2,114.2,117.7,363.2,461.4,275.8,160.6,9.6,1.0,-375.5,-14.3,1.0,-650.7,348.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,1
2444,0.7422,84,-0.01,0.15,1.00,500.2,233.3,443.9,329.7,74.1,71.6,78.2,103.4,1174.7,255.6,130.1,114.2,117.7,363.2,461.4,275.8,160.8,9.6,1.0,-375.3,-14.3,1.0,-644.6,343.3,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0
2445,0.7422,84,-0.01,0.14,1.00,500.4,233.4,443.9,329.7,74.1,71.5,78.1,103.4,1174.6,255.6,130.0,114.1,117.6,363.2,461.4,275.8,161.1,9.6,1.0,-367.2,-13.8,1.0,-644.4,343.3,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2446,0.7422,84,-0.01,0.12,1.00,500.5,233.6,443.9,329.7,74.1,71.5,78.1,103.3,1174.4,255.5,129.9,114.0,117.5,363.2,461.4,275.8,153.3,9.2,1.0,-367.0,-13.8,1.0,-644.3,343.3,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2447,0.7422,84,-0.01,0.11,1.00,500.7,233.7,443.9,329.7,74.1,71.4,78.0,103.3,1174.3,255.5,129.9,114.0,117.5,363.2,461.4,275.7,155.3,9.4,1.0,-366.9,-13.8,1.0,-638.1,337.9,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2448,0.7422,84,-0.01,0.10,1.00,500.8,233.8,443.9,329.7,74.1,71.4,78.0,103.2,1174.2,255.5,129.8,113.9,117.4,363.2,461.4,275.7,157.2,9.5,1.0,-366.8,-13.8,1.0,-638.0,337.9,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,1
2449,0.7422,84,-0.01,0.09,1.00,500.9,233.9,444.0,329.7,74.1,71.4,78.0,103.2,1174.1,255.5,129.8,113.9,117.4,363.2,461.4,275.7,158.9,9.6,1.0,-358.7,-13.4,1.0,-637.9,337.9,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,1
2450,0.7422,84,-0.01,0.08,1.00,501.0,234.0,444.0,329.7,74.1,71.4,78.0,103.2,1174.0,255.4,129.8,113.9,117.4,363.1,461.3,275.7,152.5,9.3,1.0,-358.6,-13.4,1.0,-631.8,332.5,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0
2451,0.7422,84,-0.01,0.08,1.00,501.1,234.1,444.0,329.8,74.1,71.3,77.9,103.1,1174.0,255.4,129.7,113.8,117.3,363.1,461.3,275.7,153.9,9.4,1.0,-358.5,-13.4,1.0,-631.8,332.5,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2452,0.7422,84,-0.01,0.07,1.00,501.1,234.2,444.0,329.8,74.1,71.3,77.9,103.1,1173.9,255.4,129.7,113.8,117.3,363.1,461.3,275.6,155.1,9.5,1.0,-358.5,-13.4,1.0,-631.7,332.5,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2453,0.7422,84,-0.01,0.06,1.00,501.2,234.3,444.0,329.8,74.1,71.3,77.9,103.1,1173.8,255.4,129.7,113.8,117.3,363.1,461.3,275.6,148.3,9.2,1.0,-350.4,-13.0,1.0,-631.2,324.5,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,1
